filename,label,has_horizon,has_stars,sharp,bright_enough,not_noisy,flickering
IC745_H01_1530_1111_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1543_527_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_158_851_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1597_1722_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1598_320_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1600_1022_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1662_1651_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1719_389_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1735_990_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1756_1369_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1784_526_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1796_220_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1838_1754_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_183_246_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1865_1776_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1871_1418_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1877_1104_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1888_1089_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1954_1917_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_286_1617_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_328_1490_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_334_986_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_342_907_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_378_1683_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_403_774_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_470_1724_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_47_449_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_523_254_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_527_443_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_60_37_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_616_901_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_768_208_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_785_1409_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_813_1409_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_89_63_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_901_1041_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_926_498_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_952_1694_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_971_71_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_998_861_6.jpg,rejected,False,False,True,True,False,True
